Grid,C-2,C-4,C-6,C-8,C-10,C-12,C-14,C-16,C-18,C-20,ROW,,,
Hold #,1143,1061,1397,1069,D226,1136,D227,D201,1149,1057,R-34,,,
Angle,195˚,190˚,180˚,130˚,260˚,155˚,190˚,135˚,160˚,175˚,R-34,,,
Dist (inches),2,2,2.25,2.25,3,2.5,2.5,2.25,2,2,R-34,,,
Hold #,D199,1463,1139,1361,1060,1146,1068,1402,1135,1192,R-32,,,
Angle,175˚,145˚,150˚,180˚,110˚,215˚,205˚,210˚,220˚,150˚,R-32,,,
Dist (inches),2.25,2,2.5,2.25,2,2.25,2,3,2.5,2.5,R-32,,,
Hold #,D225,1453,1401,1063,D224,D200,1392,1065,1365,1459,R-30,,,
Angle,275˚,145˚,25˚,160˚,70˚,320˚,130˚,140˚,145˚,240˚,R-30,,,
Dist (inches),2.75,2.25,3.25,2.25,3.5,3,2.25,2.75,2,2,R-30,,,
Hold #,D207,1197,D204,1467,D206,1405,D197,1408,1059,1391,R-28,,,
Angle,118˚,200˚,255˚,300˚,90˚,235˚,30˚,95˚,120˚,180˚,R-28,,,
Dist (inches),3,2.5,3.25,2.25,3,2.75,2.5,3.25,2.25,2.25,R-28,,,
Hold #,1399,D193,D222,D195,1464,1452,1406,D208,1394,1140,R-26,,,
Angle,180˚,175˚,85˚,155˚,180˚,10˚,135˚,200˚,255˚,300˚,R-26,,,
Dist (inches),2.25,2.75,2.75,2.5,1.75,1.75,3.5,3,2.25,2.5,R-26,,,
Hold #,1131,1195,D229B,1398,1454,1193,1067,1393,D192,D229,R-24,,,
Angle,180˚,190˚,250˚,180˚,150˚,165˚,275˚,180˚,355˚,100˚,R-24,,,
Dist (inches),2,2.25,2.75,2.5,2,2.25,2,2.25,2.25,3.25,R-24,,,
Hold #,1461,1053,1196,1460,1142,D203,1147,D225B,1409,1056,R-22,,,
Angle,210˚,130˚,175˚,90˚,180˚,180˚,180˚,185˚,110˚,240˚,R-22,,,
Dist (inches),2,2.5,2.25,2,2,2.5,2,2.25,3.5,2.5,R-22,,,
Hold #,1052,1410,D198,1462,1451,D230,1066,1200,D202,1400,R-20,,,
Angle,165˚,225˚,355˚,135˚,220˚,325˚,270˚,180˚,215˚,180˚,R-20,,,
Dist (inches),3,3,2.5,2,2,2.75,2,2.5,3,2.25,R-20,,,
Hold #,1144,1458,1396,D227B,D221,D221B,D223,D191,1466,D194,R-18,,,
Angle,160˚,150˚,220˚,290˚,85˚,145˚,120˚,345˚,160˚,25˚,R-18,,,
Dist (inches),2,2,2.5,3,2.5,3.5,2.5,3.5,2,2.5,R-18,,,
Hold #,1070,1363,D210,1404,1054,1470,1064,1370,1132,1403,R-16,,,
Angle,205˚,190˚,290˚,205˚,160˚,265˚,160˚,125˚,105˚,225˚,R-16,,,
Dist (inches),2.75,2,2.5,3.25,2,2.5,2,2,2,3,R-16,,,
Hold #,1141,D230B,D228,1051,1465,D196,1407,D205,1198,1457,R-14,,,
Angle,115˚,185˚,95˚,240˚,110˚,335˚,175˚,130˚,160˚,235˚,R-14,,,
Dist (inches),2,2.5,2,2.25,2.25,2.5,3.5,3,2.5,2.25,R-14,,,
Hold #,1134,1369,1137,1362,D224B,1468,D226B,1150,1455,1148,R-12,,,
Angle,225˚,195˚,135˚,250˚,5˚,230˚,305˚,205˚,180˚,175˚,R-12,,,
Dist (inches),2,2,2.75,2,2.5,2.5,3.25,2.5,2,2.25,R-12,,,
Hold #,1199,1456,1191,1062,1367,1055,1194,1133,1368,D222B,R-10,,,
Angle,150˚,125˚,225˚,235˚,185˚,60˚,165˚,140˚,340˚,90˚,R-10,,,
Dist (inches),3,2.25,2.5,2.25,2,2.25,2.25,2,2.5,3,R-10,,,
Hold #,1138,1364,D223B,1366,D209,1469,D228B,1395,1058,1145,R-8,,,
Angle,175˚,45˚,120˚,250˚,250˚,195˚,150˚,220˚,270˚,175˚,R-8,,,
Dist (inches),2.5,2.5,3,2,3,2,2,2.25,2.25,2.5,R-8,,,
